query,pandas_function_call
Get cummin for sales,df['sales'].cummin()
Find skewness of age,df['age'].skew()
Compute mode for profit,df['profit'].mode()
Compute std for profit,df['profit'].std()
Get MAD of revenue,df['revenue'].mad()
Show relationship of height,df.corr()['height']
Find median quantile of age,df['age'].quantile(0.5)
Find the median of temperature,df['temperature'].median()
Compute change for sales,df['sales'].diff()
Find unique values in sales,df['sales'].unique()
Find correlation with temperature,df.corr()['temperature']
Get cumprod for profit,df['profit'].cumprod()
Describe values of age,df['age'].describe()
Find skewness of height,df['height'].skew()
Compute median for height,df['height'].median()
Find kurtosis of weight,df['weight'].kurt()
Show kurtosis of age,df['age'].kurt()
Compute running min for score,df['score'].cummin()
Find number of records for sales,df['sales'].count()
Get cumprod for profit,df['profit'].cumprod()
Compute MAD for height,df['height'].mad()
Compute std for profit,df['profit'].std()
Compute covariance for price,df.cov()['price']
Compute change for revenue,df['revenue'].diff()
Find value counts of height,df['height'].value_counts()
Total count for temperature,df['temperature'].count()
Show skew value for revenue,df['revenue'].skew()
Find number of unique values in price,df['price'].nunique()
Get cummin for temperature,df['temperature'].cummin()
Find value counts of price,df['price'].value_counts()
Compute mean for height,df['height'].mean()
Find standard deviation of score,df['score'].std()
Get cumsum for temperature,df['temperature'].cumsum()
Compute kurtosis for sales,df['sales'].kurt()
Get cumprod for weight,df['weight'].cumprod()
Compute value counts of weight,df['weight'].value_counts()
Find mode of price,df['price'].mode()
Show relationship of expenses,df.corr()['expenses']
Compute percentile for price,df['price'].quantile(0.5)
Compute correlation for age,df.corr()['age']
Find unique values in weight,df['weight'].unique()
Show distinct entries for price,df['price'].unique()
Show highest value for sales,df['sales'].max()
Get nunique of price,df['price'].nunique()
Total count for expenses,df['expenses'].count()
Compute running min for sales,df['sales'].cummin()
Compute mean for sales,df['sales'].mean()
Compute running total for profit,df['profit'].cumsum()
Get cumprod for price,df['price'].cumprod()
Compute kurtosis for height,df['height'].kurt()
Show highest value for age,df['age'].max()
Find the median of temperature,df['temperature'].median()
Compute correlation for temperature,df.corr()['temperature']
Calculate sum for price,df['price'].sum()
Compute running max for height,df['height'].cummax()
Calculate sum for age,df['age'].sum()
Show highest value for temperature,df['temperature'].max()
Find number of records for price,df['price'].count()
Find number of unique values in expenses,df['expenses'].nunique()
Find cumulative min of expenses,df['expenses'].cummin()
Find number of records for revenue,df['revenue'].count()
Calculate sum for expenses,df['expenses'].sum()
Get most frequent value in profit,df['profit'].mode()
Calculate sum for score,df['score'].sum()
Find the median of height,df['height'].median()
Show percent change of price,df['price'].pct_change()
Get cummin for profit,df['profit'].cummin()
Compute mean for age,df['age'].mean()
Compute median for expenses,df['expenses'].median()
Find mean absolute deviation of price,df['price'].mad()
Calculate sum for height,df['height'].sum()
Get unique values of expenses,df['expenses'].unique()
Find cumulative max of profit,df['profit'].cummax()
Find difference in expenses,df['expenses'].diff()
Show distinct entries for revenue,df['revenue'].unique()
Show highest value for score,df['score'].max()
Find mean absolute deviation of temperature,df['temperature'].mad()
Show frequency distribution for revenue,df['revenue'].value_counts()
Compute skew for age,df['age'].skew()
Get diff for temperature,df['temperature'].diff()
Find value counts of temperature,df['temperature'].value_counts()
Show highest value for profit,df['profit'].max()
Get cumsum for profit,df['profit'].cumsum()
Compute skew for temperature,df['temperature'].skew()
Find skewness of weight,df['weight'].skew()
Show frequency distribution for weight,df['weight'].value_counts()
Show covariance of height,df.cov()['height']
Find kurtosis of sales,df['sales'].kurt()
Compute median for height,df['height'].median()
Get diff for expenses,df['expenses'].diff()
Find skewness of height,df['height'].skew()
Get the max of revenue,df['revenue'].max()
Show mean of score,df['score'].mean()
Show statistics for score,df['score'].describe()
Find cumulative max of weight,df['weight'].cummax()
Compute running total for expenses,df['expenses'].cumsum()
Find standard deviation of price,df['price'].std()
Compute running product for score,df['score'].cumprod()
Compute variance for sales,df['sales'].var()
Count unique entries for score,df['score'].nunique()
Count unique entries for score,df['score'].nunique()
Compute mode for revenue,df['revenue'].mode()
Show covariance of sales,df.cov()['sales']
Find number of unique values in profit,df['profit'].nunique()
Find standard deviation of price,df['price'].std()
Show kurtosis of height,df['height'].kurt()
Show highest value for temperature,df['temperature'].max()
Get MAD of revenue,df['revenue'].mad()
Show relationship of age,df.corr()['age']
Get summary of temperature,df['temperature'].describe()
Compute skew for temperature,df['temperature'].skew()
Compute running total for temperature,df['temperature'].cumsum()
Get total of score,df['score'].sum()
Show relationship of age,df.corr()['age']
Compute kurtosis for sales,df['sales'].kurt()
Get middle value of weight,df['weight'].median()
Find minimum of revenue,df['revenue'].min()
Find maximum of sales,df['sales'].max()
Find percentage change in price,df['price'].pct_change()
Get most frequent value in height,df['height'].mode()
Compute pct change for sales,df['sales'].pct_change()
Show mean of weight,df['weight'].mean()
Find mean absolute deviation of score,df['score'].mad()
Show relationship of price,df.corr()['price']
Get nunique of weight,df['weight'].nunique()
Find number of records for price,df['price'].count()
Compute correlation for score,df.corr()['score']
Compute running total for score,df['score'].cumsum()
Find the average of profit,df['profit'].mean()
Find mode of sales,df['sales'].mode()
Get cumsum for score,df['score'].cumsum()
Show relationship of price,df.corr()['price']
Show covariance of weight,df.cov()['weight']
Get total of score,df['score'].sum()
Total count for price,df['price'].count()
Compute percentile for height,df['height'].quantile(0.5)
Find covariance of revenue,df.cov()['revenue']
Show skew value for profit,df['profit'].skew()
Get statistical variance of score,df['score'].var()
Get cummin for weight,df['weight'].cummin()
Compute change for revenue,df['revenue'].diff()
Compute variance for sales,df['sales'].var()
Compute mode for age,df['age'].mode()
Show relationship of height,df.corr()['height']
Compute median for height,df['height'].median()
Get summary of temperature,df['temperature'].describe()
Get unique values of expenses,df['expenses'].unique()
Get unique values of price,df['price'].unique()
Get middle value of sales,df['sales'].median()
Show distinct entries for weight,df['weight'].unique()
Find cumulative min of profit,df['profit'].cummin()
Find standard deviation of expenses,df['expenses'].std()
Compute change for profit,df['profit'].diff()
Total count for expenses,df['expenses'].count()
Get diff for revenue,df['revenue'].diff()
Show highest value for profit,df['profit'].max()
Get unique values of sales,df['sales'].unique()
Get most frequent value in revenue,df['revenue'].mode()
Compute running min for weight,df['weight'].cummin()
Show distinct entries for profit,df['profit'].unique()
Compute covariance for profit,df.cov()['profit']
Count unique entries for price,df['price'].nunique()
Find skewness of height,df['height'].skew()
Find cumulative product of sales,df['sales'].cumprod()
Find kurtosis of weight,df['weight'].kurt()
Find unique values in age,df['age'].unique()
Show distinct entries for height,df['height'].unique()
Count entries in sales,df['sales'].count()
Get statistical variance of expenses,df['expenses'].var()
Find the sum of profit,df['profit'].sum()
Find mean absolute deviation of expenses,df['expenses'].mad()
Find the average of height,df['height'].mean()
Compute running min for expenses,df['expenses'].cummin()
Compute running min for temperature,df['temperature'].cummin()
Compute change for score,df['score'].diff()
Get MAD of profit,df['profit'].mad()
Find minimum of price,df['price'].min()
Show relationship of temperature,df.corr()['temperature']
Show lowest value for score,df['score'].min()
Compute mode for age,df['age'].mode()
Count entries in age,df['age'].count()
Find maximum of score,df['score'].max()
Get summary of temperature,df['temperature'].describe()
Get MAD of expenses,df['expenses'].mad()
Compute MAD for revenue,df['revenue'].mad()
Compute skew for score,df['score'].skew()
Find standard deviation of age,df['age'].std()
Get summary of score,df['score'].describe()
Compute skew for temperature,df['temperature'].skew()
Compute running min for temperature,df['temperature'].cummin()
Compute running min for profit,df['profit'].cummin()
Show kurtosis of score,df['score'].kurt()
Calculate sum for temperature,df['temperature'].sum()
Find value counts of profit,df['profit'].value_counts()
Show lowest value for revenue,df['revenue'].min()
Count unique entries for profit,df['profit'].nunique()
Get summary of sales,df['sales'].describe()
Compute running product for price,df['price'].cumprod()
Find maximum of sales,df['sales'].max()
Get the max of expenses,df['expenses'].max()
Get cummin for profit,df['profit'].cummin()
Find median quantile of temperature,df['temperature'].quantile(0.5)
Find mean absolute deviation of temperature,df['temperature'].mad()
Find covariance of profit,df.cov()['profit']
Calculate sum for price,df['price'].sum()
Compute pct change for profit,df['profit'].pct_change()
Compute mean for weight,df['weight'].mean()
Find number of records for sales,df['sales'].count()
Compute covariance for sales,df.cov()['sales']
Compute change for weight,df['weight'].diff()
Get quantile for expenses,df['expenses'].quantile(0.5)
Find the median of temperature,df['temperature'].median()
Show percent change of age,df['age'].pct_change()
Count entries in expenses,df['expenses'].count()
Find correlation with sales,df.corr()['sales']
Compute covariance for profit,df.cov()['profit']
Get summary of price,df['price'].describe()
Compute std for expenses,df['expenses'].std()
Show kurtosis of age,df['age'].kurt()
Get cumsum for weight,df['weight'].cumsum()
Get unique values of temperature,df['temperature'].unique()
Get nunique of temperature,df['temperature'].nunique()
Compute running product for profit,df['profit'].cumprod()
Get summary of height,df['height'].describe()
Get cummin for expenses,df['expenses'].cummin()
Find median quantile of profit,df['profit'].quantile(0.5)
Get the min of revenue,df['revenue'].min()
Compute mode for score,df['score'].mode()
Calculate sum for temperature,df['temperature'].sum()
Find number of records for age,df['age'].count()
Compute covariance for age,df.cov()['age']
Get cumsum for sales,df['sales'].cumsum()
Get variation in score,df['score'].std()
Compute running product for age,df['age'].cumprod()
Get middle value of revenue,df['revenue'].median()
Get diff for expenses,df['expenses'].diff()
Get summary of price,df['price'].describe()
Show kurtosis of score,df['score'].kurt()
Get nunique of temperature,df['temperature'].nunique()
Compute std for temperature,df['temperature'].std()
Find percentage change in profit,df['profit'].pct_change()
Find median quantile of height,df['height'].quantile(0.5)
Get variation in score,df['score'].std()
Get variation in height,df['height'].std()
Get cummin for age,df['age'].cummin()
Get most frequent value in temperature,df['temperature'].mode()
Get summary of revenue,df['revenue'].describe()
Find number of unique values in profit,df['profit'].nunique()
Count unique entries for age,df['age'].nunique()
Compute running max for height,df['height'].cummax()
Compute percentile for temperature,df['temperature'].quantile(0.5)
Find covariance of height,df.cov()['height']
Find difference in score,df['score'].diff()
Find the median of weight,df['weight'].median()
Get summary of score,df['score'].describe()
Show lowest value for profit,df['profit'].min()
Find number of records for temperature,df['temperature'].count()
Get variation in revenue,df['revenue'].std()
Find percentage change in temperature,df['temperature'].pct_change()
Find difference in profit,df['profit'].diff()
Get cummin for expenses,df['expenses'].cummin()
Find mode of age,df['age'].mode()
Find skewness of age,df['age'].skew()
Find median quantile of score,df['score'].quantile(0.5)
Compute MAD for price,df['price'].mad()
Find minimum of weight,df['weight'].min()
Compute variance for temperature,df['temperature'].var()
Get unique values of weight,df['weight'].unique()
Show statistics for age,df['age'].describe()
Find value counts of height,df['height'].value_counts()
Get MAD of price,df['price'].mad()
Find minimum of expenses,df['expenses'].min()
Compute correlation for age,df.corr()['age']
Get summary of score,df['score'].describe()
Get cummin for revenue,df['revenue'].cummin()
Find minimum of temperature,df['temperature'].min()
Compute value counts of height,df['height'].value_counts()
Total count for sales,df['sales'].count()
Find covariance of revenue,df.cov()['revenue']
Find the median of revenue,df['revenue'].median()
Find median quantile of revenue,df['revenue'].quantile(0.5)
Show frequency distribution for score,df['score'].value_counts()
Find cumulative min of score,df['score'].cummin()
Get middle value of price,df['price'].median()
Find correlation with sales,df.corr()['sales']
Show distinct entries for profit,df['profit'].unique()
Find median quantile of height,df['height'].quantile(0.5)
Get unique values of score,df['score'].unique()
Show percent change of sales,df['sales'].pct_change()
Find standard deviation of score,df['score'].std()
Show percent change of revenue,df['revenue'].pct_change()
Compute skew for age,df['age'].skew()
Compute kurtosis for age,df['age'].kurt()
Get summary of sales,df['sales'].describe()
Compute running min for height,df['height'].cummin()
Show frequency distribution for profit,df['profit'].value_counts()
Get middle value of score,df['score'].median()
Show distinct entries for temperature,df['temperature'].unique()
Find number of unique values in height,df['height'].nunique()
Find value counts of height,df['height'].value_counts()
Find value counts of age,df['age'].value_counts()
Compute median for height,df['height'].median()
Compute running total for temperature,df['temperature'].cumsum()
Get most frequent value in sales,df['sales'].mode()
Compute running total for profit,df['profit'].cumsum()
Get cummax for score,df['score'].cummax()
Show skew value for score,df['score'].skew()
Show distinct entries for height,df['height'].unique()
Show kurtosis of weight,df['weight'].kurt()
Find cumulative min of revenue,df['revenue'].cummin()
Count unique entries for expenses,df['expenses'].nunique()
Count entries in age,df['age'].count()
Show covariance of height,df.cov()['height']
Get the max of weight,df['weight'].max()
Get middle value of price,df['price'].median()
Get the min of expenses,df['expenses'].min()
Find unique values in height,df['height'].unique()
Get nunique of expenses,df['expenses'].nunique()
Show statistics for height,df['height'].describe()
Get the max of price,df['price'].max()
Get nunique of sales,df['sales'].nunique()
Find mean absolute deviation of price,df['price'].mad()
Compute mean for temperature,df['temperature'].mean()
Get most frequent value in temperature,df['temperature'].mode()
Show skew value for revenue,df['revenue'].skew()
Find skewness of revenue,df['revenue'].skew()
Find variance of height,df['height'].var()
Find difference in profit,df['profit'].diff()
Get cumsum for score,df['score'].cumsum()
Show distinct entries for sales,df['sales'].unique()
Get most frequent value in weight,df['weight'].mode()
Show relationship of revenue,df.corr()['revenue']
Get cummin for height,df['height'].cummin()
Show statistics for age,df['age'].describe()
Get cumprod for profit,df['profit'].cumprod()
Get summary of score,df['score'].describe()
Count entries in weight,df['weight'].count()
Get cummin for revenue,df['revenue'].cummin()
Show relationship of height,df.corr()['height']
Find the sum of price,df['price'].sum()
Compute change for height,df['height'].diff()
Compute variance for price,df['price'].var()
Get summary of temperature,df['temperature'].describe()
Compute mode for profit,df['profit'].mode()
Show relationship of sales,df.corr()['sales']
Find percentage change in price,df['price'].pct_change()
Get middle value of revenue,df['revenue'].median()
Count entries in revenue,df['revenue'].count()
Compute running product for price,df['price'].cumprod()
Find difference in sales,df['sales'].diff()
Compute running total for price,df['price'].cumsum()
Get statistical variance of price,df['price'].var()
Find median quantile of profit,df['profit'].quantile(0.5)
Show covariance of height,df.cov()['height']
Show mean of expenses,df['expenses'].mean()
Show statistics for price,df['price'].describe()
Find cumulative product of profit,df['profit'].cumprod()
Find cumulative sum of revenue,df['revenue'].cumsum()
Find covariance of revenue,df.cov()['revenue']
Compute MAD for price,df['price'].mad()
Find maximum of score,df['score'].max()
Get nunique of price,df['price'].nunique()
Compute variance for profit,df['profit'].var()
Find variance of price,df['price'].var()
Find correlation with expenses,df.corr()['expenses']
Show highest value for height,df['height'].max()
Get unique values of profit,df['profit'].unique()
Show highest value for sales,df['sales'].max()
Find cumulative sum of temperature,df['temperature'].cumsum()
Get most frequent value in score,df['score'].mode()
Calculate sum for revenue,df['revenue'].sum()
Get unique values of temperature,df['temperature'].unique()
Find the sum of price,df['price'].sum()
Compute kurtosis for score,df['score'].kurt()
Show statistics for price,df['price'].describe()
Show mean of revenue,df['revenue'].mean()
Find median quantile of score,df['score'].quantile(0.5)
Compute running product for temperature,df['temperature'].cumprod()
Get MAD of age,df['age'].mad()
Find median quantile of expenses,df['expenses'].quantile(0.5)
Find minimum of revenue,df['revenue'].min()
Compute mode for age,df['age'].mode()
Show highest value for height,df['height'].max()
Show percent change of profit,df['profit'].pct_change()
Get nunique of weight,df['weight'].nunique()
Compute pct change for expenses,df['expenses'].pct_change()
Show highest value for height,df['height'].max()
Get cumprod for height,df['height'].cumprod()
Get quantile for weight,df['weight'].quantile(0.5)
Find mean absolute deviation of temperature,df['temperature'].mad()
Find correlation with profit,df.corr()['profit']
Compute covariance for profit,df.cov()['profit']
Compute running product for height,df['height'].cumprod()
Compute variance for expenses,df['expenses'].var()
Show skew value for temperature,df['temperature'].skew()
Get total of weight,df['weight'].sum()
Get the min of score,df['score'].min()
Find covariance of price,df.cov()['price']
Get cumprod for profit,df['profit'].cumprod()
Show highest value for expenses,df['expenses'].max()
Find cumulative min of expenses,df['expenses'].cummin()
Get quantile for expenses,df['expenses'].quantile(0.5)
Find median quantile of sales,df['sales'].quantile(0.5)
Get total of height,df['height'].sum()
Compute running product for score,df['score'].cumprod()
Find percentage change in profit,df['profit'].pct_change()
Get cummin for sales,df['sales'].cummin()
Get statistical variance of score,df['score'].var()
Compute kurtosis for age,df['age'].kurt()
Compute covariance for profit,df.cov()['profit']
Show frequency distribution for revenue,df['revenue'].value_counts()
Total count for weight,df['weight'].count()
Total count for height,df['height'].count()
Find number of unique values in temperature,df['temperature'].nunique()
Find number of unique values in height,df['height'].nunique()
Show skew value for age,df['age'].skew()
Show relationship of price,df.corr()['price']
Calculate sum for revenue,df['revenue'].sum()
Compute percentile for score,df['score'].quantile(0.5)
Find the median of height,df['height'].median()
Get summary of revenue,df['revenue'].describe()
Get middle value of profit,df['profit'].median()
Get MAD of height,df['height'].mad()
Show skew value for height,df['height'].skew()
Find unique values in expenses,df['expenses'].unique()
Get the min of temperature,df['temperature'].min()
Describe values of price,df['price'].describe()
Find number of records for profit,df['profit'].count()
Find skewness of price,df['price'].skew()
Compute covariance for age,df.cov()['age']
Find median quantile of profit,df['profit'].quantile(0.5)
Find minimum of score,df['score'].min()
Get cumsum for expenses,df['expenses'].cumsum()
Get most frequent value in height,df['height'].mode()
Find median quantile of age,df['age'].quantile(0.5)
Get MAD of weight,df['weight'].mad()
Compute std for score,df['score'].std()
Show covariance of temperature,df.cov()['temperature']
Get variation in weight,df['weight'].std()
Find cumulative max of height,df['height'].cummax()
Find maximum of revenue,df['revenue'].max()
Find mean absolute deviation of revenue,df['revenue'].mad()
Find minimum of revenue,df['revenue'].min()
Compute correlation for price,df.corr()['price']
Find median quantile of price,df['price'].quantile(0.5)
Find mode of price,df['price'].mode()
Find standard deviation of price,df['price'].std()
Get variation in weight,df['weight'].std()
Find minimum of weight,df['weight'].min()
Find value counts of weight,df['weight'].value_counts()
Compute value counts of score,df['score'].value_counts()
Find mean absolute deviation of temperature,df['temperature'].mad()
Find value counts of profit,df['profit'].value_counts()
Find number of records for price,df['price'].count()
Find covariance of temperature,df.cov()['temperature']
Find the sum of age,df['age'].sum()
Get nunique of sales,df['sales'].nunique()
Get total of expenses,df['expenses'].sum()
Show highest value for price,df['price'].max()
Compute running max for height,df['height'].cummax()
Find cumulative max of revenue,df['revenue'].cummax()
Get cummin for price,df['price'].cummin()
Find correlation with revenue,df.corr()['revenue']
Find standard deviation of age,df['age'].std()
Find covariance of weight,df.cov()['weight']
Compute change for price,df['price'].diff()
Find unique values in score,df['score'].unique()
Get most frequent value in expenses,df['expenses'].mode()
Find standard deviation of temperature,df['temperature'].std()
Find cumulative sum of expenses,df['expenses'].cumsum()
Get most frequent value in price,df['price'].mode()
Find cumulative sum of age,df['age'].cumsum()
Get unique values of price,df['price'].unique()
Compute kurtosis for revenue,df['revenue'].kurt()
Find cumulative min of sales,df['sales'].cummin()
Get summary of sales,df['sales'].describe()
Find maximum of score,df['score'].max()
Find cumulative min of revenue,df['revenue'].cummin()
Compute kurtosis for sales,df['sales'].kurt()
Find the median of score,df['score'].median()
Compute running max for score,df['score'].cummax()
Find value counts of temperature,df['temperature'].value_counts()
Describe values of revenue,df['revenue'].describe()
Get quantile for sales,df['sales'].quantile(0.5)
Calculate sum for expenses,df['expenses'].sum()
Compute running product for revenue,df['revenue'].cumprod()
Find correlation with price,df.corr()['price']
Find skewness of height,df['height'].skew()
Find correlation with temperature,df.corr()['temperature']
Show distinct entries for age,df['age'].unique()
Calculate sum for price,df['price'].sum()
Show frequency distribution for score,df['score'].value_counts()
Calculate sum for age,df['age'].sum()
Compute MAD for age,df['age'].mad()
Get unique values of temperature,df['temperature'].unique()
Compute mean for profit,df['profit'].mean()
Compute variance for age,df['age'].var()
Compute running product for revenue,df['revenue'].cumprod()
Compute skew for expenses,df['expenses'].skew()
Find value counts of height,df['height'].value_counts()
Find mean absolute deviation of sales,df['sales'].mad()
Get the min of expenses,df['expenses'].min()
Find maximum of profit,df['profit'].max()
Get summary of score,df['score'].describe()
Find mean absolute deviation of sales,df['sales'].mad()
Get statistical variance of price,df['price'].var()
Find kurtosis of profit,df['profit'].kurt()
Get total of expenses,df['expenses'].sum()
Find cumulative sum of score,df['score'].cumsum()
Compute mode for age,df['age'].mode()
Get quantile for price,df['price'].quantile(0.5)
Get cumsum for revenue,df['revenue'].cumsum()
Get most frequent value in temperature,df['temperature'].mode()
Compute running max for age,df['age'].cummax()
Show lowest value for revenue,df['revenue'].min()
Show lowest value for score,df['score'].min()
Get most frequent value in sales,df['sales'].mode()
Compute correlation for profit,df.corr()['profit']
Compute pct change for price,df['price'].pct_change()
Find kurtosis of score,df['score'].kurt()
Get cummin for age,df['age'].cummin()
Compute std for revenue,df['revenue'].std()
Compute covariance for price,df.cov()['price']
Calculate sum for sales,df['sales'].sum()
Show statistics for price,df['price'].describe()
Count entries in temperature,df['temperature'].count()
Find variance of age,df['age'].var()
Get cumsum for sales,df['sales'].cumsum()
Find kurtosis of weight,df['weight'].kurt()
Get cumprod for expenses,df['expenses'].cumprod()
Get MAD of weight,df['weight'].mad()
Get quantile for profit,df['profit'].quantile(0.5)
Find number of records for score,df['score'].count()
Get the min of height,df['height'].min()
Get cummax for score,df['score'].cummax()
Get statistical variance of profit,df['profit'].var()
Get cumsum for price,df['price'].cumsum()
Find mean absolute deviation of score,df['score'].mad()
Get middle value of weight,df['weight'].median()
Find number of unique values in temperature,df['temperature'].nunique()
Find number of unique values in temperature,df['temperature'].nunique()
Find cumulative min of revenue,df['revenue'].cummin()
Compute percentile for expenses,df['expenses'].quantile(0.5)
Find median quantile of height,df['height'].quantile(0.5)
Find unique values in height,df['height'].unique()
Get variation in expenses,df['expenses'].std()
Get cumsum for profit,df['profit'].cumsum()
Compute correlation for revenue,df.corr()['revenue']
Show skew value for temperature,df['temperature'].skew()
Get cummax for price,df['price'].cummax()
Compute percentile for sales,df['sales'].quantile(0.5)
Compute value counts of temperature,df['temperature'].value_counts()
Find minimum of price,df['price'].min()
Compute running product for price,df['price'].cumprod()
Show covariance of score,df.cov()['score']
Compute mean for score,df['score'].mean()
Compute skew for weight,df['weight'].skew()
Find standard deviation of age,df['age'].std()
Compute kurtosis for sales,df['sales'].kurt()
Get quantile for price,df['price'].quantile(0.5)
Compute running max for age,df['age'].cummax()
Show percent change of revenue,df['revenue'].pct_change()
Get middle value of sales,df['sales'].median()
Total count for height,df['height'].count()
Show kurtosis of profit,df['profit'].kurt()
Get diff for score,df['score'].diff()
Show covariance of expenses,df.cov()['expenses']
Count entries in price,df['price'].count()
Find percentage change in sales,df['sales'].pct_change()
Compute skew for weight,df['weight'].skew()
Find maximum of height,df['height'].max()
Compute std for temperature,df['temperature'].std()
Compute change for revenue,df['revenue'].diff()
Calculate sum for expenses,df['expenses'].sum()
Show mean of price,df['price'].mean()
Find unique values in sales,df['sales'].unique()
Get the max of sales,df['sales'].max()
Find skewness of price,df['price'].skew()
Get cummin for price,df['price'].cummin()
Compute running max for height,df['height'].cummax()
Show kurtosis of profit,df['profit'].kurt()
Get cumsum for expenses,df['expenses'].cumsum()
Total count for sales,df['sales'].count()
Find minimum of profit,df['profit'].min()
Get nunique of sales,df['sales'].nunique()
Find unique values in profit,df['profit'].unique()
Get the max of revenue,df['revenue'].max()
Show relationship of sales,df.corr()['sales']
Show kurtosis of profit,df['profit'].kurt()
Compute running max for profit,df['profit'].cummax()
Show frequency distribution for profit,df['profit'].value_counts()
Compute running product for revenue,df['revenue'].cumprod()
Get cumprod for price,df['price'].cumprod()
Show statistics for revenue,df['revenue'].describe()
Find covariance of revenue,df.cov()['revenue']
Compute correlation for expenses,df.corr()['expenses']
Compute change for sales,df['sales'].diff()
Calculate sum for height,df['height'].sum()
Show statistics for profit,df['profit'].describe()
Find covariance of revenue,df.cov()['revenue']
Show distinct entries for expenses,df['expenses'].unique()
Show statistics for age,df['age'].describe()
Find value counts of age,df['age'].value_counts()
Get cumsum for price,df['price'].cumsum()
Find mode of price,df['price'].mode()
Find the average of age,df['age'].mean()
Compute running max for temperature,df['temperature'].cummax()
Count entries in score,df['score'].count()
Compute value counts of revenue,df['revenue'].value_counts()
Find number of unique values in revenue,df['revenue'].nunique()
Find cumulative product of score,df['score'].cumprod()
Find unique values in height,df['height'].unique()
Show lowest value for sales,df['sales'].min()
Compute running product for revenue,df['revenue'].cumprod()
Find mode of revenue,df['revenue'].mode()
Describe values of weight,df['weight'].describe()
Compute variance for price,df['price'].var()
Find median quantile of sales,df['sales'].quantile(0.5)
Get MAD of sales,df['sales'].mad()
Calculate sum for profit,df['profit'].sum()
Find standard deviation of revenue,df['revenue'].std()
Compute covariance for temperature,df.cov()['temperature']
Count entries in price,df['price'].count()
Get most frequent value in temperature,df['temperature'].mode()
Show kurtosis of expenses,df['expenses'].kurt()
Find unique values in revenue,df['revenue'].unique()
Find minimum of temperature,df['temperature'].min()
Describe values of profit,df['profit'].describe()
Show skew value for sales,df['sales'].skew()
Get cummin for revenue,df['revenue'].cummin()
Compute running min for price,df['price'].cummin()
Show mean of age,df['age'].mean()
Compute percentile for sales,df['sales'].quantile(0.5)
Find cumulative product of sales,df['sales'].cumprod()
Get MAD of profit,df['profit'].mad()
Show covariance of temperature,df.cov()['temperature']
Show lowest value for height,df['height'].min()
Get the min of revenue,df['revenue'].min()
Show distinct entries for score,df['score'].unique()
Get statistical variance of revenue,df['revenue'].var()
Show covariance of revenue,df.cov()['revenue']
Show skew value for weight,df['weight'].skew()
Compute median for revenue,df['revenue'].median()
Describe values of age,df['age'].describe()
Find the sum of price,df['price'].sum()
Find cumulative max of temperature,df['temperature'].cummax()
Show skew value for score,df['score'].skew()
Describe values of age,df['age'].describe()
Get diff for price,df['price'].diff()
Find the sum of weight,df['weight'].sum()
